file,W,participant,food_code_Y,trial_ZZ,serving_segment_idx,start_frame,end_frame,start_time_s,end_time_s,start_sample,end_sample,threshold_used,used_idleTail_calibration,debug_plot
1_001_06_02.pcm,1,001,6,2,10,1321,1364,15.348390022675737,15.836009070294784,676864,698880,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,11,1450,1493,16.84607709750567,17.333696145124716,742912,764927,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,12,1579,1622,18.3437641723356,18.83138321995465,808960,830976,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,13,1708,1752,19.841451247165534,20.340680272108845,875008,897536,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,14,1838,1881,21.35074829931973,21.838367346938774,941568,963583,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,15,1967,2010,22.84843537414966,23.336054421768708,1007616,1029632,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,16,2096,2140,24.346122448979592,24.845351473922904,1073664,1096192,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,17,2225,2269,25.843809523809522,26.343038548752833,1139712,1162240,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,18,2354,2398,27.341496598639456,27.840725623582767,1205760,1228288,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,19,2484,2527,28.85079365079365,29.3384126984127,1272320,1294336,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_03.pcm,1,001,6,3,0,28,70,0.33668934240362813,0.8126984126984127,14848,36352,-13.622241973876953,False,1_001_06_03_serving_segments.png
1_001_06_03.pcm,1,001,6,3,1,157,200,1.8343764172335602,2.3219954648526078,80896,102912,-13.622241973876953,False,1_001_06_03_serving_segments.png
1_001_06_03.pcm,1,001,6,3,2,286,330,3.332063492063492,3.8312925170068026,146944,169472,-13.622241973876953,False,1_001_06_03_serving_segments.png
1_001_06_03.pcm,1,001,6,3,3,416,458,4.841360544217687,5.317369614512471,213504,235008,-13.622241973876953,False,1_001_06_03_serving_segments.png
1_001_06_03.pcm,1,001,6,3,4,545,587,6.339047619047619,6.815056689342404,279552,301056,-13.622241973876953,False,1_001_06_03_serving_segments.png
1_001_06_03.pcm,1,001,6,3,5,674,717,7.836734693877551,8.324353741496598,345600,367616,-13.622241973876953,False,1_001_06_03_serving_segments.png
1_001_06_03.pcm,1,001,6,3,6,803,846,9.334421768707482,9.822040816326531,411648,433664,-13.622241973876953,False,1_001_06_03_serving_segments.png
1_001_06_03.pcm,1,001,6,3,7,932,976,10.832108843537416,11.331337868480725,477696,500224,-13.622241973876953,False,1_001_06_03_serving_segments.png
1_001_06_03.pcm,1,001,6,3,8,1061,1105,12.329795918367347,12.829024943310658,543744,566272,-13.622241973876953,False,1_001_06_03_serving_segments.png
