model,feature,participant,accuracy,macro_f1,weighted_f1
RF,stat,41,0.33524904214559387,0.3155653806896709,0.33073794013529967
SVM,stat,1,0.21428571428571427,0.07065989847715735,0.0757070340826686
SVM,stat,2,0.11576354679802955,0.062025442258000406,0.05375812817673284
SVM,stat,3,0.14705882352941177,0.10655020537211417,0.10813702511310046
SVM,stat,4,0.2002652519893899,0.13491880826304634,0.1282265455366352
SVM,stat,5,0.2036637931034483,0.14421453561518707,0.14958033883115315
SVM,stat,6,0.2281947261663286,0.1478388313023745,0.17552749656601446
SVM,stat,7,0.1477832512315271,0.07102201539287632,0.04985041806233859
SVM,stat,8,0.23218390804597702,0.18915520485125703,0.2036825438980915
SVM,stat,9,0.33004926108374383,0.32186078299815785,0.31367356607703023
SVM,stat,10,0.1279491833030853,0.0993758815396033,0.10200139486873268
SVM,stat,11,0.506896551724138,0.347615036830576,0.4846752167886111
SVM,stat,12,0.3213166144200627,0.18194684884601275,0.2213169298748374
SVM,stat,13,0.3288177339901478,0.19822693357910567,0.2898194163308485
SVM,stat,14,0.23706896551724138,0.1673929545994152,0.16739295459941522
SVM,stat,15,0.1336206896551724,0.09144716104263488,0.1051422846366269
SVM,stat,16,0.2471264367816092,0.07119547119547119,0.10203130203130203
SVM,stat,17,0.07931034482758621,0.041065087134767524,0.029791726653229673
SVM,stat,18,0.2413793103448276,0.11743725202314159,0.16519305053047384
SVM,stat,19,0.21810344827586206,0.1696150841630085,0.2178602539762522
SVM,stat,20,0.21095334685598377,0.14159381269327434,0.15802855277629657
SVM,stat,21,0.5,0.34806201550387594,0.34806201550387594
SVM,stat,22,0.1870689655172414,0.10681735206645473,0.10674617987898677
SVM,stat,23,0.3977832512315271,0.2985527451725105,0.31674314501801676
SVM,stat,24,0.593103448275862,0.43277130325514407,0.5817749931742086
SVM,stat,25,0.4118773946360153,0.3068786097753352,0.3544576749866422
SVM,stat,26,0.2857142857142857,0.22457850368809273,0.1312659942796929
SVM,stat,27,0.36973180076628354,0.3090617114684177,0.2992423574720311
SVM,stat,28,0.3584392014519056,0.32242898091865657,0.3046313514088049
SVM,stat,29,0.23620689655172414,0.1559633022626549,0.1559633022626549
SVM,stat,30,0.21415607985480944,0.1784338947431299,0.17722028197627185
SVM,stat,31,0.2413793103448276,0.10238009043349873,0.10238009043349872
SVM,stat,32,0.25862068965517243,0.11347220251008698,0.1194444236948284
SVM,stat,33,0.46120689655172414,0.4658534878102201,0.4615489988431545
SVM,stat,34,0.3316430020283976,0.2836005361669689,0.30101184033743766
SVM,stat,35,0.33879310344827585,0.26602828825108404,0.266028288251084
SVM,stat,36,0.45462794918330307,0.44063374657637283,0.44353617911488347
SVM,stat,37,0.47186932849364793,0.4322294516004266,0.42383942950662606
SVM,stat,38,0.3002028397565923,0.19032290299923307,0.22340437464691393
SVM,stat,39,0.31800766283524906,0.1633917480715806,0.20229413684578368
SVM,stat,40,0.22008113590263692,0.1888914410300847,0.16038996932560554
SVM,stat,41,0.2998084291187739,0.1824065435093612,0.20267393723262356
CNN,STFT,1,0.21428571428571427,0.07058823529411765,0.07563025210084034
CNN,STFT,2,0.22495894909688013,0.18655284140223902,0.1729597011804413
CNN,STFT,3,0.22718052738336714,0.1667386340712811,0.18839144558890472
CNN,STFT,4,0.363395225464191,0.34118076358973026,0.31264564626048413
CNN,STFT,5,0.3954741379310345,0.3640851103025141,0.40217597540354244
CNN,STFT,6,0.3711967545638945,0.2817986179913667,0.32488935791933654
CNN,STFT,7,0.23891625615763548,0.2100602630371118,0.21868430625711494
CNN,STFT,8,0.2,0.08333333333333333,0.06666666666666667
CNN,STFT,9,0.23399014778325122,0.15776170608484835,0.15646178645069517
CNN,STFT,10,0.11161524500907441,0.05077967715185613,0.06324458881279257
CNN,STFT,11,0.6,0.25,0.45
CNN,STFT,12,0.25235109717868337,0.08141592920353982,0.11102172164119067
CNN,STFT,13,0.35714285714285715,0.10526315789473684,0.18796992481203006
CNN,STFT,14,0.25,0.1,0.1
CNN,STFT,15,0.25,0.08,0.1
CNN,STFT,16,0.17385057471264367,0.1443051774854334,0.1544845402150835
CNN,STFT,17,0.18160919540229886,0.14369284774187974,0.1450874194907048
CNN,STFT,18,0.2206896551724138,0.11511172678298905,0.15588517522295942
CNN,STFT,19,0.12844827586206897,0.08957515326206743,0.06686906590205854
CNN,STFT,20,0.2363083164300203,0.15111815816504529,0.1691520312863298
CNN,STFT,21,0.646551724137931,0.6458938277120095,0.6458938277120095
CNN,STFT,22,0.15,0.05217391304347826,0.03913043478260869
CNN,STFT,23,0.4224137931034483,0.3404836570844088,0.34037327648277754
CNN,STFT,24,0.6,0.25,0.45
CNN,STFT,25,0.2471264367816092,0.1951947469070757,0.17851539632361552
CNN,STFT,26,0.270935960591133,0.2683793985145501,0.24984432345932406
CNN,STFT,27,0.1925287356321839,0.13431977201870973,0.11999784692492559
CNN,STFT,28,0.294010889292196,0.16755784320544795,0.1763766770583663
